en,md
copper,銅；銅線
missile,飛彈
frozen,凍結；冰凍的；黏合的
lend,借出
honey,蜂蜜
seventh,七度
compact,緻密；緻密的
costume,戲服
fitting,適；配件；裝配；接頭；配適；擬合
painful,疼痛的
jazz,爵士音樂
rebuild,翻修
inclusion,包含；納入；融合；包體；夾雜物
batteries,電池；電池組
inspector,監工；督學；檢查員；檢驗員
withdrawal,抽出；廢止
merchant,商家；貨方
infant,嬰兒
signals,訊號；信號
exercises,演習
printer,印表機；列印機
spur,距；跡；骨刺；支脈
advertiser,廣告主
rod,棒；桿；標尺；測桿
wages,工資
anchor,錨；定錨；錨點
intelligent,智慧型
acceptance,承諾；驗收；承兌
patrol,巡邏
recruitment,招募；聘任
tonne,公噸
helicopter,直升機
addiction,癮；成癮；上癮
observer,觀察者；觀測員；觀測者；觀測器
performer,演員；執行者
batch,批；分批；批次；批量
rack,架；柵；框架；書架；料架
sustainability,持續性；永續性；可持續性；持續戰力
arrow,箭頭
punishment,刑；懲罰
expenditure,消費；支出；消耗
minimal,最小的
caption,說明；標示；標題
cabin,機艙；客艙；控制室
cheat,借位
confuse,混亂；混淆
configure,配置
dairy,乳牛的
equality,平等
psychology,心理學
pupil,學生；瞳孔
confusion,混淆；擾亂
swap,交換；調換
remarks,批註
compile,編譯
references,參考文獻
tomato,番茄；蕃茄紅
tunnel,隧道；風洞；墜道
inappropriate,不適合
networking,連網；網路連結
pursuit,追蹤
fancy,幻想；花式
specification,規格；專門化
subsidiary,子公司；附件；副的；附屬事業
taxi,計程車；滑行
devil,塵捲風
bias,偏差；偏誤；偏倚；偏性；偏壓
liver,肝；肝臟；現場報導
defect,缺點；缺陷
particle,微粒；粒子；質點
underground,地下的
intake,攝取；集水；取水口；進水口
gulf,灣；海灣
consensus,共識
panic,恐懼；恐慌；應急
translation,翻譯；遷移；轉譯；平移；滑移
electronics,電子學
puzzle,謎
correction,修正；改正；校正；訂正
prescription,處方；處方箋
disk,盤；轉盤；圓盤；磁碟
dynamics,動力；動態；動力學
compose,構圖；編製
scout,搜索；偵測；偵察；偵察船
boom,爆炸聲；吊桿；嗡嗡聲
dawn,黎明
brick,磚
humor,液；體液
breathing,呼吸；吸氣；通氣
glove,手套
surveillance,監視；搜索；監測；偵察
migration,移動；遷移；遷徙；徙動
homeless,無家可歸者
builder,填充劑；建立器
counterpart,副本
calculation,計算
couples,力偶
soap,肥皂
composition,組成；成分；合成；構圖；排版；拼版；熔劑
tumor,瘤；腫瘤；腫塊
excitement,激動
os,骨；內孔
lap,搭接
disc,盤；轉盤；圓盤；磁碟；磁碟片；體盤；盤碟
testimony,證詞
protective,保護的
dental,齒的；牙齒的；齒音
zoom,縮放
accountability,責任；職責；責任歸屬；問責；課責；績效評鑑；負責性；可歸責性
populations,母群
cycling,循環；周期變化；循環進行
navigation,航行；導航；航海；航海學
mid,中間
bones,骨骼
horizon,水平；地平；地平線；水平線；計畫期；層位；視平線
preview,預覽
exhaust,衰竭；排氣；廢氣
pause,暫停
offset,偏差；偏移；轉印；互抵；偏位
parameters,參數
diesel,柴油機
prediction,預估；預測；預報
sheets,圖幅
merit,優點
explosion,展開；爆炸
mm,毫米
bump,顛簸；凸出；凸塊
animation,動畫；動畫模擬
hammer,槌；錘；鎚；鎚擊；擊鎚
cave,槽；岩洞
dominant,顯性；屬音；顯性的
schemes,基模
remedy,藥；藥品
branches,分枝
backing,背；逆轉；充填；底墊；圖襯
caps,大寫字母
banner,旗幟；橫幅
ski,雪橇；滑雪板
allocate,預撥
basket,籃；容器；吊艙
tier,層
hail,雹；冰雹
effectiveness,效果；有效；效應；可行性；效能；效用；有效性
motorcycle,機車；摩托車
murphy,馬鈴薯
complexity,複雜性
browse,瀏覽
carpet,地毯
intensity,強度；照度
poem,詩
leap,跳進
baking,烘焙；焙燒
reproduce,再生產
fixture,裝置；夾具；治具
ethics,倫理；倫理道德；倫理學
inbox,入箱
dam,壩；水壩
tent,帳篷；天遮
heating,加熱
semester,半年；學期
lobby,大廳；接待室
par,副；票面額
sake,理由；清酒
screens,螢幕
bee,蜜蜂
imagination,想像；想像力
duck,鴨
real-time,即時
proceeds,銷貨收入；收入款
tile,磚；地磚；瓷磚
buck,降壓
width,寬；寬度
algorithm,演算法；算則
oak,橡木；橡樹
obligations,債編
tobacco,菸草
glue,膠；牛皮膠
rivals,敵手
lemon,檸檬
trademark,商標
earthquake,地震；地面震動；地震測試
rookie,新手
educator,教育工作者
tariff,關稅；費率；運價；稅則
bang,爆炸聲；驚嘆號
fires,火災
deployment,部署；布建；佈署
chaos,混亂；混沌
cleaner,清潔劑；清潔機；清潔器
chemistry,化學
hop,躍程；短程飛行
ash,灰；成分；火山灰；白楊木；灰分
commence,開始
urgent,緊急的
mechanic,技工；機工；機匠
nutrient,營養；養分；營養素；營養劑；營養物；營養物質
id,本我
spa,溫泉
beam,束；梁；樑；光束；波束；射束
beverage,飲料
halt,停止；暫停
commentary,註釋；新聞評論
benchmark,基準；定標；標竿；水準點
dirt,渣；雜質；污垢；汙物；污物；廢石
chips,晶片；碎片
physics,物理學
stays,束腹
testify,證明
pharmacy,藥劑學
node,結；節；節點；結節；交點；波節
clause,子句
companion,伴星
municipality,直轄市
toe,趾；趾部
syndrome,症；症候群；徵候群；綜合症狀
significance,意義；顯著性
soup,湯；壞天氣
invitation,邀請
recession,衰退；後退；蕭條；經濟衰退；消退；退水
disorders,異常
interim,期中
baker,烘焙機
gut,腸；腸道；腸管
toxic,毒物；有毒的
pill,丸劑
specialty,專長
kidney,腎；腎臟
rope,繩；繩索；繩束
loyalty,忠誠；忠誠度
jam,果醬
mobility,機動性；活動性；運動性；移動性；能動性
guides,導軌
tick,註記；刻點；壁蝨；滴答聲
quarantine,隔離；檢疫；隔離所
beta,貝他
equation,方程式
cart,匣；手推車；搬運車
bundle,束；小包；纖維束；壓塊
corn,玉米；雞眼；穀粒
dec,減一
hazard,危險；災害；危害；危險因素
habitat,棲地；棲息地；生境；棲所
spice,香料；香辛料
briefing,簡報
sack,袋；袋裝
herb,草藥；藥草；草本；草本植物
slate,板；平板；拍板；石板；板岩
obstacle,障礙物
shapes,型材
transparent,透明；透明的；透通
loads,載重；負載
trauma,創傷；外傷；挫傷
reside,常駐
tactics,戰術
delegate,代表；委派
pixel,畫素；像素；像元
stall,失速
verdict,裁決
interval,區間；間隔；等距；音程
renew,更新
pants,褲類
reset,重置；重設；復位；重定位；復置
collector,收集器；集極
melt,融化
warehouse,倉庫；庫房
pathway,管道；途徑；路徑
trustee,受託人；財產託管人
hormone,荷爾蒙；激素；刺激素
breakdown,故障；崩潰；分解；崩解；分鏡
radiation,輻射；發光；放射
crush,碎裂；壓碎
speculation,推測；投機
midnight,子夜
bitcoin,比特幣
marker,標誌；標記；標識；標位
disruption,分裂；破裂；阻斷
referendum,複決
undergraduate,大學生
density,密度
voltage,電壓
font,字型
helmet,安全帽；盔；頭盔；頭罩
jar,甕；廣口瓶
tablets,錠劑
steep,陡峭的
allocation,分配；配置；分攤
lightweight,輕型；輕量化
non,非
sandwich,夾層
virgin,處女；初始的
lighter,子船
archives,檔案室；檔案庫
characterize,特徵
isolation,隔離；分離；孤立；游離
alternatives,替代方案；替選方案
orientation,方向；定位；方位；取向；定向；方向性
pulse,脈動；脈搏；脈衝；脈波
insult,發作；損傷
chrome,鉻
onion,洋蔥
convey,運輸
allowance,津貼；容許量；備抵；容差；裕度
elephant,象
header,標題；頭座；首標；標頭
supervisor,督導；督導員；督導人員；督導者
coconut,椰子
ramp,斜坡；停機坪；曳船道
squeeze,擠壓
valuation,評價
snake,蛇；蛇形
ink,墨水；油墨
pig,生鐵；銑鐵
fever,發燒；斑疹傷寒
tongue,舌
graph,圖；圖形；圖表
massage,記錄；按摩
clarity,清晰；清晰度；明確性；明晰度
fade,消失；衰退；衰落
merger,合併；吸收合併
blogger,部落客
infect,感染；傳染
labels,標籤；標記
lounge,休息室
reduces,還原劑
transmit,發射；傳送；傳導
alternate,備用；交替；互生；交替性
milestone,里程碑
colony,族群；群體；殖民地；菌落
villa,別墅
rehabilitation,修復；復健；復健醫療
counting,計數
explorer,探險家
surgeon,船醫
beneficiary,受益人；受益者
essence,香精
swift,雨燕
tuition,學費
tendency,趨勢
corners,角
fund-raising,募款
rub,摩擦
flows,流量
modification,形；變化；變更；修改；變形；修飾
appliance,設備；裝置；電器；器具；用具
precise,精確
threshold,門檻；臨界；定限；閾；閾值；臨限；閥值；跑道末端
gauge,表；計；線規
connectivity,連結性；連接性
binding,連結；束縛；捆綁；裝訂；耦合
enrollment,註冊；登入；註冊入學
projection,投影；投射
curb,緣石
streak,條紋；五花肉；條痕；條班
artwork,原圖
assurance,保險；保證；確信
injection,注射；注入；噴射
complement,互補；補體；補體素
plates,板
detection,檢查；檢測；偵測；偵檢；檢波
landmark,地標；陸標
spotlight,聚光；聚光燈
disrupt,中斷
spill,溢出
tattoo,紋身
vacuum,真空
boil,沸騰；氣泡；泉湧；癤
supermarket,超級市場
neighbourhood,鄰里
petroleum,石油；原油；石油精
boring,鑽探；搪缸
carbohydrate,醣；碳水化合物；醣類
graduation,畢業；刻度；分度
trait,特質；表徵
eighth,八度
zoo,動物園
suburb,郊區
thumb,拇指；姆指
logistics,物流；後勤；後勤學
cargo,貨物
isolate,單獨；隔絕
cooked,熟的
scrap,廢料；報廢；殘料；金屬廢料
commonwealth,共同福祉
assert,宣告
aluminum,鋁
nuts,螺帽
flour,麵粉
sub,潛艇；接頭
riot,暴動
tailor,裁剪；裁縫師
keyword,關鍵字
blanket,圍包；綜合的
draws,孔穴
paste,糊；糊狀物
pr,百分等級
cattle,牛
fatal,致死；致死的
cooper,修補工
rangers,突擊隊員
roger,收到了
subsidy,補貼；補貼金
merge,合併
eager,段波；湧潮
complication,併發症
cord,帶；繩；電線；考得；軟線
cardinal,基本；主要的；基本的；主軸的；樞紐的；基本方向
lawn,細篩
molecule,分子
needle,針；指針；針葉
genes,基因
rotation,旋轉；輪調
trash,垃圾；清除；雜質
relieve,緩解
relaxed,鬆弛的
instruct,指令
nightmare,夢魘
illustration,插圖；圖解；圖示
clearance,許可；清除；淨空；間距；間隙
jumping,跳動
gram,克；公克
foam,泡沫
aids,輔助劑
bronze,青銅
gesture,姿態；手勢；筆勢
fossil,化石
towel,毛巾
surfaces,表面
dimensions,面積
uncover,暴露
strait,海峽
automation,自動化
high-quality,高品質
tide,潮汐
rat,鼠
blacks,黑色染料
detention,滯留
coupon,折價券；試樣；息票
cloth,布
sweat,汗；汗濕
restoration,恢復；修復；復原；復育；復職；復元；復舊工程
sensors,感測器
gem,寶石
separation,分離；分居；分流；分色；離距
throat,喉；咽喉；喉頭；喉部
hospitality,款待
adverse,內轉
wright,工匠
terminate,終止
cancellation,取消；註銷；化為零
moisture,水分；潮濕；水份；溼度；濕氣
scroll,渦捲；捲盤
cooperative,合作；合作社；相互合作的
provinces,海區
hunger,飢餓；饑餓
disposal,處理；處置；配置；拋棄；報廢
designate,指定；標定
firefighter,消防人員
bucket,吊桶
generator,發電機；產生器；母線；發生器
occupation,職業；占領
attachment,配件；附著；附件；依附行為
weed,淘汰；雜草
larry,搖車；運煤車
clay,黏土；粘土
filmmaker,電影工作者
oils,油類
mold,模；黴菌；模具；模製；鑄模
chains,鏈
rhythm,韻律；節律
prop,支撐；支柱；支撐桿
queue,排隊；等候線；佇列
horn,角；喇叭；號角；角峰
ferry,渡輪；渡船；渡口
turnover,移轉；周轉；迴轉；週轉
attributes,象徵物
licensing,授權；授證；授權品牌
berry,漿果
collision,碰撞
shooter,攝影師
abstract,抽象；摘要
corridor,走道；廊道；緩衝區
libraries,圖書館
lamp,燈；燈具
consciousness,意識；知覺
radar,雷達；雷達系統
organizer,記事本
consistency,一致；一致性；稠度；恆定性
marketer,行銷者
fraction,分數
opener,開罐器
stimulus,刺激；激勵；刺激物；激源
polling,意見調查；詢訊
biology,生物學
stain,污染；污點；著色劑
acute,急性；銳角；急性的
spam,垃圾郵件；濫發
prescribed,規定的
cease,中斷；折痕
detain,阻止
rotate,旋轉；轉動；輪形；輪狀的
hedge,避險；柵欄；套利；綠籬
canal,管；水道；運河；渠道
hood,引擎蓋；座艙罩
mathematics,數學
ridge,背；脊；山脊
diameter,直徑
sleeve,套；袖；封套；套筒；軸套
bare,條斑
herald,報信者
cliff,崖；懸崖
surf,泡網；碎波；網路漫遊
rig,鑽機
shifts,班次
insect,昆蟲
burns,灼燒
drought,乾旱
advocacy,倡議
explode,爆炸
realm,領域；界域
bulb,球；燈泡；鱗莖；B快門
cement,水泥；；膠水；白堊
built-in,內建
dial,圓盤；度盤
associations,群屬
ambulance,救護車
apology,道歉
shipment,出貨；運送；裝運
exemption,豁免；免稅額
precision,精密；精度；精確度；精密度；精確性
ankle,足踝；踝部
dock,碼頭；船塢
invent,創造；發明
armor,裝甲；盔甲
chop,切斷；斬斷；白浪
whip,鞭子
adaptation,適應；改寫；調適；適應度
sensitivity,敏感度；敏感性；靈敏度
safeguard,保全；安全裝置
garbage,廢料
genius,天才；特性；特徵
whale,鯨；鯨魚
wheat,小麥
bases,鹽基
discretion,裁量權
packet,小包裝；封包
refresh,再生；刷新；再新
classify,分類；分級
bitter,苦的
sheep,綿羊
alumnus,校友
proactive,先制
recreation,遊憩；休養
vulnerability,脆弱性；脆弱區
advances,墊款
token,訊標；符記
transcript,成績單
foul,惡臭的
cage,箱網；扣鎖
niche,利基
ass,驢
cherry,櫻桃
inspect,檢查；檢驗
poison,毒物；毒藥；毒素；毒化
ace,空戰英雄
vaccinate,接種
variations,變奏曲
accent,腔調
strengths,強勢
renewal,更新；再生；更換；換新；續約
alpha,α；阿伐
directive,指令
mat,甲板；蓆；墊子
invasion,入侵；侵入
relay,繼電器；電驛
bloody,血的
buzz,口碑；流言
dedication,專用；專屬；提供土地
originate,擬發
certify,證明；認證
jeans,牛仔褲
incentives,獎金
pond,池；池塘
census,普查
pine,松；鬆；松木
flesh,菌肉
broadband,寬頻；寬帶
reliability,信度；可靠性；可靠度
bracket,托架
canon,經典；峽谷
adjustments,調整
canvas,帆布
modes,模態
tesla,特斯拉
grind,研磨
manipulate,操控；調處
dub,複錄
gen,產生
superintendent,教育局長；監工
monument,界石；標石
basement,基礎；基底；基部；底座；打底；地下層；基盤
ruler,尺；直尺；規尺
tolerance,耐性；耐受；公差；耐受性；容限
fork,叉；分支；叉路；鐵叉
stitch,裝訂
coordination,協調；協同；協調性；共濟；配位
stab,刺；刺入
conjunction,合；連結；連接；會合；交集；合取
cognitive,認知的
cooler,冷卻器
probability,機率；可能性；概率；或然率
civilization,文明
follow-up,後續；追蹤；後續追蹤；跟催
gateway,閘道
distributor,經銷商；發行人；分配器
triangle,三角；三角形
arc,弧；圓弧；線段；電弧
observations,觀測
se,標準差
kyle,海峽
median,中數；中位數；中值；正中的；中央分隔帶
distant,遠距
levy,選派
gaps,縫隙；間隙
predecessor,前導
forge,偽造；鍛造
candle,燭光
revise,修正；修訂
inequality,不等；不平等；不均等；不等式
zip,拉鍊
aggregate,集體；聚集；群眾；聚合；骨材；集合體；聚合體；聚集體；團粒
mosque,清真寺
offences,妨害
insurer,保險人
sunshine,陽光；日光；日照
metals,金屬
slope,坡度；斜度；斜率
attacker,攻擊者
futures,期貨；遠期交易
procurement,採購；獲取
garlic,大蒜
gravity,重力
autumn,秋季
postpone,延後
rap,饒舌歌
haul,運距
harmony,調和；協調性；諧調；調和性
steer,轉向；操縱；牯牛
exterior,外部；外景；外貌
sticks,桅桿
litigation,訴訟
doc,文件
sock,軟管；短襪
strings,弦；弦樂器
fatigue,疲勞；疲乏
flagship,旗艦
dies,鑄模
peel,果皮
medicare,醫療保險；聯邦醫療保險
bloom,花粉；光暈；塊料；藻華；起霜
harness,套；線索；吊帶；導線；線束
deer,鹿
visibility,能見度；可見度；可見性；可視性
chunk,區塊；塊肉；厚片；定樣
minerals,礦物質
gallon,加侖
sketch,素描；草圖；要圖
intersection,交會；交集；十字路口；交叉點
breakthrough,貫穿；穿透
axis,軸；軸線
router,路由器
wallet,皮夾
lips,唇
embed,嵌入
hung,懸掛
adjacent,相鄰的；毗連的
exchanges,交易所
proteins,蛋白質
circular,通報；圓形；圓形的；環狀的
tweak,微調
bookmark,書籤
void,空隙；作廢；間隙；白斑；孔洞；空艙；孔隙
thunder,雷
amateur,業餘；業餘者
allergy,過敏；過敏性；過敏症
streams,溪流；串流
stairs,梯；樓梯
stair,梯；樓梯
connector,接頭；連接器
footprint,足跡
bankruptcy,破產
coil,螺旋；線圈
petrol,石油；汽油
oversight,疏忽
turner,煎鏟
ml,毫升
magistrate,裁判
supervision,監督；督導；視導
sculpture,刻蝕
charger,充電器
pearl,珍珠；真珠；珍珠的
wander,漂移
noon,午
e-commerce,電子商務
retrieve,擷取
bleeding,出血；滲出；傷流
carriers,載體
columns,列
advancement,進步；前進；升級
cylinder,圓柱；滾筒；圓柱體
terrain,地區；地形；地域
grasp,抓取；握取
pedal,足的；踏板；腳踏板；腳盤
constraint,限制；約束；拘束；約制
nutrients,營養劑；營養鹽
masses,大眾
deed,地契
balloon,氣球；汽球；探空氣球
drift,偏移；漂移；偏航；傷患後送；衝銷
headphone,耳機；頭戴式耳機；頭戴耳機
maritime,海岸的
resignation,辭職
compensate,補償；補正
monkey,猴
greenhouse,溫室
methodology,方法論
verification,確認；查證；驗證
literacy,素養
clearing,清除；轉晴
clutch,窩；離合器
warnings,警告
wizard,精靈
drilling,鑽；鑽探；鑽孔；鑽井；鑽鑿；條播
heels,殘渣
thirty,30
township,鎮區
doctrine,準則；學說
beats,拍；拍音
simulation,模擬；仿擬
donors,捐贈者
strand,股；條；繩
mob,暴民
mason,泥水匠
plague,瘟疫；鼠疫
belonging,歸屬
bust,胸圍；胸像
delegation,授權
distress,事故；不幸；沮喪；失事；遇險
wrist,腕；手腕
stimulate,鼓勵；引發；刺激
mice,滑鼠
listener,收聽者
canyon,峽谷；大峽谷
rewrite,重寫
telecom,電信
likelihood,可能性
progression,前進；進展；級數
leisure,休閒
rim,邊緣
skirt,裙
accumulate,累計
generic,屬的；同屬；類名；同屬的
appetite,食慾
lid,蓋；罩
accord,符合；一致
dictate,指定
judgement,判斷
sequel,續集
planner,規劃者；計畫者
pillar,柱；樁；支柱；石柱
digit,指；數位；數字；趾；數元
utilities,公共設施
shrink,縮小；收縮
bombing,轟炸
invoice,發票；請款單
admin,管理者
naval,海軍的
mint,薄荷；造幣廠
nova,新星
fry,魚苗
debris,碎片；碎屑；殘餘物；岩屑
hacker,駭客
sunset,日落；日沒
pork,豬肉
indicators,指示劑
retention,滯留；保留款
recycle,回收；循環；再循環
mindset,心態
flaw,瑕疵；缺陷；裂隙
statute,法令
circulate,循環；流通
clerk,事務員
scoop,鏟；杓
grief,悲慟
orbit,軌道；眶
dough,麵糰
billing,計費；記帳
specifications,規格
prints,印花布
interference,干擾；干涉；訊號干擾
ladder,梯；支架
objection,異議
sterling,英鎊
browsing,瀏覽
keeper,管理人
thermal,熱；熱的；熱傳；熱體
fridge,冰箱
cough,咳嗽
confidential,機密
hull,包；皮；殼；船體
sensation,感覺；感官
buffer,緩衝；緩衝區；緩衝器；暫存區；緩衝劑；減震器
successor,後續
inject,注入
cables,電纜
flush,沖洗；潮紅
moderator,主持人；仲裁者；緩衝劑
plaintiff,原告
persist,保存
regain,回收
dashboard,儀表板；儀表盤
threads,螺紋
mercury,汞
intermediate,中間的；中介；中間體；中間產物；中間物
motive,動機
prosperity,旺盛
rabbit,兔
internship,實習
gadget,支架
superstar,超星
tray,盤；托盤
festivals,音樂節
quantum,量子
notch,刻痕；凹口
matrix,基地；矩陣；基質；基材；鑄模；基體
laundry,洗衣房；洗衣間
respiratory,呼吸的
prototype,原型；雛型
mattress,床墊
splash,濺出；頭版新聞；擋水板
ideology,意識形態；意識型態
circulation,循環；流通；通風；環流；發行量；循環作用
registry,登錄
maple,楓木
overhead,天花板；管理費；附加費；攤費；製造費用
junk,廢料；中國帆船
passive,被動；被動的
sync,同步
forecasts,預測
dolphin,海豚
borrower,借用人；借閱者
salmon,鮭；鮭魚
swallow,吞嚥
budgets,預算
classification,分類；分級；分類法
costa,肋；骨架
sharks,鯊
sneak,偷襲；寄生的
bargain,特價品
machinery,機械
responsive,反應
pencil,筆；束；鉛筆
payroll,薪資單
litre,公升
replicate,複製；重製
mortality,死亡；死亡率
chord,弦；直線；和弦
renovation,更新；改裝；整建
credibility,公信力；可信度
dispatch,調度；新聞稿
backyard,後院
broadcasting,廣播；播送；撒播；無線廣播電視
hose,襪子；軟管
faction,派系
revision,修訂；更改
predator,捕食者
overtime,加班；超時
linear,線的；線性；線性的；線狀的
chuck,夾頭
rainbow,虹；彩虹
unsubscribe,取消訂閱
accountant,會計人員；會計員
knot,結；節；花結；海里；結點；山結
diagram,圖；圖表；圖解；圖示；繞射圖
cam,凸輪
intrusion,入侵；侵入；非法侵入
breeding,繁殖；滋生；育種；增殖
inflammation,燃燒；發炎；炎症
interrupt,中斷；中止
hydrogen,氫；氫氣
proposition,命題
atom,原子
proxy,代理；代替；委託書；代理伺服器
micro,微；微小
mechanics,技巧；力學
remainder,餘數；餘料
merchandise,商品
vein,脈；靜脈；葉脈；礦脈
silicon,矽
goat,山羊
psychologist,心理學家
enhancement,增強；富化；增顯；加強作用
glow,輝光
accessibility,無障礙設施；可近性；可及性；接近性；啣接；可親性
chill,冷卻
shorts,短片
correspond,對應
exempt,豁免
wholesale,批發式
precaution,預防工作
persistent,持續；持續的
bleed,出血；排氣；抽氣；泌水
symbols,符號；標記
mapping,繪圖；配對；製圖；測繪；映射；對應關係；對映
publicity,新聞發布
batter,傾斜；傾斜度；傾角
statutory,法定期間
mushroom,洋菇；蕈狀雲
deficiency,不足；缺乏；缺點；缺陷；不足率
magnitude,規模；星等
miner,礦工
perspectives,透視法
wax,蠟
surplus,剩水
autism,自閉症
badge,標記；記號；識別證
spine,脊椎；棘；針刺；脊柱；書脊
shallow,淺；淺灘；淺水區；小角度
peninsula,半島
transplant,移植；移殖
couch,長椅
scar,斷崖；瘢痕
burial,埋葬；埋藏
casualty,傷亡；損壞；死傷；海難事故
antibody,抗體；反抗體
neat,牛
obesity,肥胖；肥胖病
slavery,奴隸制
reed,簧；蘆葦；簧片；簧式
reel,捲軸；捲筒；片盤；捲盤
bullying,霸淩
pillow,枕頭
elbow,肘；肘關節；急彎；彎管；彎頭
cue,提示；尾接
discourage,勸阻
brass,銅；黃銅；銅管樂器
reef,礁；暗礁
mud,泥；泥漿；軟泥
cartoon,卡通；草圖；卡通片
propaganda,宣傳；政治宣傳
soda,鹼；蘇打
swell,膨脹；腫脹；驟升；湧浪；膨潤
marc,果渣
weave,編織；織法
basin,流域；盆地；港池；染缸
curtain,簾；布幕
tablespoon,湯匙
organism,；有機體
shutdown,關機；關車
denial,否認；否認作用
vent,孔；排氣；肛門；通風口；通氣孔；排氣口；通氣口
cube,立方；立方體
envelope,封套；外膜；包封；套膜；波封
endorsement,保證；承認；背書
lag,落後；延遲；遲滯；遲延；滯後；滯延
prone,伏臥
horizontal,水平；水平的
aspiration,吸入；抽吸；送氣
abundance,豐富的；豐度
debit,借方
bud,芽
shaft,幹；軸；豎井
parcel,包；塊；區分；包裹；宗地
telecommunications,電信
compression,壓力；壓迫；壓縮；加壓
composer,作曲家
ribbon,帶；條紋；色帶；條帶
calcium,鈣；鈣離子
invention,創造；發明；提出證據
sticker,標籤；貼紙；黏著劑
dissolve,溶解；溶接
termination,終止
waiver,豁免
alignment,並列；對準；校準；校直
bypass,溝通的；旁路；旁通；繞流
gel,凝膠；膠體
volatility,揮發性；波動度
branding,烙印；品牌化
simplify,化簡
vinyl,乙烯基
rainfall,雨量；降雨量
batman,勤務兵
slash,光道；斜線；切縫
arrests,拘留
adapter,接頭
shelves,排架
sponsorship,贊助
butterfly,蝶形；蝴蝶形
fibre,纖維；織維
sore,瘡
conceive,想像；懷孕
cab,艙；出租車；駕駛室
mesh,網狀；網格；網目；篩目；網孔
bluetooth,藍牙
arch,拱；弓；拱起
plaza,廣場
immunity,免疫；免疫力；免疫性
hover,懸浮
motorist,駕駛人
catalog,目錄；型錄
conditioning,調節；調理；制約
toddler,學步兒
fireworks,煙火
roast,焙燒
contend,主張
absent,失神的
junction,連接；接合；交叉點；接合處；連接點
dumb,啞；基本型
stiff,僵硬的；勁性
herbs,草藥
bizarre,奇特性
pumpkin,南瓜
microphone,麥克風
pasta,麵食
misconduct,不良行為
concession,讓步；讓與；礦區；特許權；土地的取得
automobile,汽車；自動車
curl,捲曲
macro,巨集
resilience,恢復；彈性；回彈；彈性能；回復力；回彈性
liquor,酒；液；液體
competent,堅強的；堅硬的
in-house,室內；廠內
airplane,飛機
undertaking,擔保；任務執行
dodge,加亮
aboard,在船上
tuck,接插
torque,扭力；力矩；扭矩
garment,衣服
liquidity,流動性
migrate,轉置；移行；徙動
reconciliation,調解；調節；妥協；調和
molecular,分子的
villain,反派角色
vector,載體；向量；媒介體
pistol,手槍
jaw,虎鉗
breeze,微風；炭渣
fines,細料；細土
trunk,樹幹；幹線；軀幹
litter,窩；擔架；枯枝落葉
skull,頭顱；顱骨
fusion,融合；熔化；核融合；熔解；融合爵士；熔合
collar,箍；肉捲；頸圈；上下限
enzyme,酵素；酶
fracture,破壞；骨折；破裂；斷裂；裂痕；折斷；斷口
ancestor,祖先
spider,蜘蛛；腳架；十字軸；蛛蜘
isle,島
inherent,內在的；固有；天生的；固有的
portions,部分
bore,孔；高潮；內徑；段波
silk,絲
royalty,權利金；版稅
disconnect,解聯
pale,蒼白的
robots,機器人
yacht,遊艇
flies,蠅類
judging,鑑別
sympathy,同情；移情
similarity,相似性
herd,羣
correlation,相關；對比；關聯；相關性
inaccuracy,不準確
spectator,觀眾
validate,驗證
constraints,限制條件
platinum,白金；鉑
hands-on,動手做；手到
bomber,轟炸機
tow,拖曳；反流
uncertainties,不確定性
decision-making,決定；決策；做出決策
mutation,突變；變種
timber,木材
velocity,速度
auditor,旁聽生；稽核員；審計官；審計員；查帳員
suppress,抑制
dispose,處置
vanilla,香草；香莢蘭
homework,家庭作業
stripe,條紋；條帶；條痕
infinite,無限的；無限大
tin,錫
proximity,鄰近；近接；接近性；鄰近性；臨近性
nurture,環境；養育
occurrence,發生；事件；產狀
bacon,醃肉
roller,滾輪；滾浪；捲浪
blake,馬口鐵；肩胛肉
tub,礦車
cholesterol,膽固醇
cocaine,古柯鹼
distraction,分心；擾亂
acquisitions,採訪；收購
scatter,散布；散佈；散射
sunlight,日光；太陽光
juvenile,青少年期的
dye,色素；染色；染料
salon,沙龍展
rejection,拒絕；排斥；拋棄；退貨；拒收
geography,地理學
creditor,債權人
grape,葡萄
strawberry,草莓
templates,模版
eclipse,食；蝕；日蝕
fishery,漁業；漁場
seizure,發作；占用；癲癇發作；粘著
coup,打擊
penguin,企鵝
terrace,坪；階段；平台；露台；階地
umbrella,傘；雨傘
hype,灌水；大放厥詞
duplicate,重複；複製
reservoir,庫；水庫；油槽；蓄水池；油箱；貯槽
runway,跑道；河道；走道
frontier,邊界；邊疆
capsule,囊；膠囊；太空艙；蒴；蒴果
hygiene,衛生；衛生學
insulin,胰島素
stint,目標量
maturity,成熟度；成熟期；壯年期
antenna,天線
worm,蟲；蠕蟲
multiply,乘
playground,遊戲場
deduction,演繹；扣除額；推演
insure,保險；保證；投保
stride,跨步
promoter,促進劑；啟動子
ordinance,法令
locker,鎖櫃；鎖閉
evacuate,抽空
electron,電子
bent,彎曲；曲架
textbook,教科書
socks,短襪
backpack,背包
verbal,口語；言語的
expedition,探測
restructuring,重組；重構
cartridge,匣；彈殼
nike,奈克
ranch,牧場
messenger,傳令員
seeker,尋標器
norms,常模
sanctuary,避難所
sophomore,二年級生
